,cleaned_text
321,mukalu kek aktor bokep bgst mend ngobat aja luu
322,dah jelek semangattt pulak wkwk
323,muka nya gitu seren bikin mual liatnya
324,anj ngew ama lont bangsat
325,muka kek kontol mend penjara
326,muka kek banci dih naji
327,ntar mati konyol
328,bilang jelek nya ga enak hehe
329,idihhhhh pantesan aja foto nya keluarin lidah kyk gtu trnyata tukang jilat
330,nih orang kalo lomba babi babinya juara
331,titisan dakjal emg lo nyet
332,et muka lu aje gitu dih hahaha biarin aja sampah ketemu sampah biar busuk
333,jijik astagah sok bat cakep nj
334,bulli an ig ngeri fb ajg gua ngerii ajgg
335,udah buriq brengsek pant aja dapet lont
336,muka kampung gaya sok soan kota nyet
337,ngapa lidah lo stroke amin deh gtu
338,ciah dihujat indonesia samp bunuh ya komtol blom pua nguat kauuu
339,org kampung otak dusun gaya sosoan hype ttep aja gabisa nutupin muka babu lu
340,cowo foto liatin lidah nya jam ah jijik gue minu akhlak kek gini
341,anj gue jg ogah liat muke lu
342,g bole melet dosaa rik
343,paan melet melet jilat tai tabi
344,setan emg melet teross jijik asuuu
345,ni anak lahir krna kondom bocor ga syukur muka kyk selangkangan gorilla dpt cew cntik kyk jessica setia dll sia in bgsad
346,si melet sok ganteng
347,muka kek slangkangan biawak aje bnyk blagu lu
348,sumpah sih jahat banget bener kasian kak jessica
349,anj gk pant bidadari
350,melet mulu setan kaya ular
351,njr melet melet gw kirain hewan
352,gtu aj dh kek anjg lo kang
353,gw kesini pengen liat babang sumpah feel gw bener banget ama reynhard sinaga
354,ih ko melet si kaya hewan aja wkwkwkwk
355,iuu milih ibli drpd bidadarii kwkwkw jyjyq
356,melet udah kaya anj eh emah anj
357,ga nyadar aja nih sampah haha
358,lidah kuman and viru nih
359,ngira baju endors kfc
360,gua lo berkarya perbaiki tinggalkan yg negatif terlambat ttp orang yg hebat bahagia xrickolim
361,cita cita pakboi eh narkoboy nasib nasib
362,napa lu penjara sih
363,mend lu tobat dah
364,dipenjara apalo sikat gigi bau ya baubau aroma bangsatttt
365,gigi lo apanya jigong kondom nya nyangkut
366,ih mukanya kek anj rumah gwa
367,woi anak anj ngapain lu hidup bgst
368,udah jelek gak d jelek in bro
369,ganteng kagak berbakat kagak kelebihannya dimana cobak
370,benci aja ama orang jelek pake selingkuh
371,udah tutup mulut nya bau kamb
372,jualan jualan knp ngga yutub bro takut ngga yg nntn yah
373,kayak randi pangalila klo gk pake kacamata
374,knp liat muka bg eric kaya enak gitu yg
375,ganteng nyasih anj kucel gini jadiin model
376,keknya ngeliat hancur deh
377,ingett hidup lo ga seenak rikkk hidup lo susah salam temen smp pa lo burikkk eh skrg aja
378,yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah oprasi sono biar gantengan dikit kalo jln mall gk kenal orng
379,sih arti jelek mah iya mukanya iyuhhh
380,era lo mend lo mati aja babi kalo baca bale nyet
381,segenap hati maap
382,bahagia utang
383,maju berkela rik ga jamannya lg toxic ga beraturan build sistem you will be big
384,editan konsepnya nice banget lahhh
385,iri babi hahah naji
386,lo kaya anj kaya babi
387,jelek aja tukang selingkuh lo buriq
388,komennya kek gini ya
389,rick lu tuh manusia kek gk gunanya lu dilahirin kedunia berbuat sayang nya lu ngecewain org gimana mo masuk surga
390,kaloga cocok paksain
391,ya biarin xrickolim gatau gimana aslinya ambil keputusan kalo udah takdir gaada nentang njir
392,cocok emang orang mah org kalo yg bejat mah emang cocok bejat eheh
393,erick goblok pacaran ama lont anj so bat
394,cocok banget orang gak bener biar hancur
395,eh kek penampakan lont
396,meninggalkan berlian tai sapi
397,era lo lgi wkwkw skrng lo penuh cacimaki telen ludah
398,pant mulainya si ajg berulah
399,open bo ga bang si listi om om yg nyari cwe yg udah pengalaman
400,buah nangka buah kemanggi gak akhlak lu babi
401,perlahan karirmu ancur bro lu kebawan
402,biarkan sk offici bangkrut aja ceo nya gatau trimakasih haha
403,ngapain nginap rumah cowo gaada keluarga lg lo
404,eh pelakor pa banget frame orang
405,anak gblk dikasi berlian milih kerikil
406,dikasih bidadari milih dajjal awokawok v
407,cuman ngehina sadar ga sempurna kaya
408,kesihan gue org otak dangkal kek gini
409,murahh banget lo jijik gue dikick evo mlah open bo
410,senengnya nyesel nya seumur hidup miri banget hidup lu tolol meninggalkan berlian indah dipandang sayang segump tai kuce
411,indahnya pemandangan lont lont jual
412,bidadari ditunjukan mmg g pant sma dajjal g tau
413,tolong kasih tau nya apaa gai
414,dikasih hati yg malaikat milih yg berhati ibli greget
415,kasih bidadari pilih kotoran
416,dikasih bidadari lont
417,gajadi beli model murahan barang murahan
418,modelni aja murahan barangnya
419,muka macem pengamen gegayaan selingkuh untung udh ga sm jane lg kebant sm jane muke lu
420,male beli gua gara gara lont
421,bulug gini ya mukanya ehh maaf
422,cantikan jessica kemana
423,dikasih bidadari milih sampah
424,yaelah muka pa an aja bangga lu njing
425,milih ibli bidadari haha
426,rangga kanahaya knp gk truck sampah kek mukanya sampah
427,gajadi beli takut ketularan lont nya
428,hujatan klean kasian si listi kontrak nya d copot hujat dunia sgt kejam
429,beli baju lont entar kena sial
430,dasar cew lo lont tau kau
431,dah gapaham tolong
432,ditengah manusia monyet kulitnya bercorak batik
433,muka lu anj gwe ganteng anj gwe rik
434,pen lont jgn tkut listi miskin krna dipecat krna bsa kaya lgi dgn ya nglont
435,etdah ninggalin lont situ wara ma wkwk
436,gw cewek murahan postingan
437,sebelah kanan batik orang dah warna nya kek taek babi si
438,ih ko muka jelek banget siii serem kek setan
439,foto ketiga jablay murahan
440,jelek aja tukang selingkuh lo buriq
441,emang suci nghina segitu nya
442,mend follow unfollow udeh gausah ribet
443,dekil tatoan mampu karir lo hancurr pantek
444,udah berlian milih batu nisan
445,alasan setan ama setan karna kalo setan bidadari sayapnya rontok dicek digigit dijambak
446,erick gak akhlak jelek listi jelek
447,setan ma setan mahh emg cocokk ude
448,lont kuru pucet kek mayat hidup
